homoloGroup	taxID	geneID	geneSymbol
1	9606	9611	NCOR1
6	9606	9320	TRIP12
11	9606	8567	MADD
20	9606	9892	SNAP91
31	9606	7140	TNNT3
33	9606	775	CACNA1C
37	9606	7917	BAG6
39	9606	23353	SUN1
40	9606	3778	KCNMA1
49	9606	10658	CELF1
51	9606	4897	NRCAM
55	9606	10777	ARPP21
58	9606	29994	BAZ2B
61	9606	126231	ZNF573
62	9606	339327	ZNF546
63	9606	90075	ZNF30
64	9606	2037	EPB41L2
66	9606	7871	SLMAP
72	9606	5789	PTPRD
76	9606	22864	R3HDM2
80	9606	9677	PPIP5K1
82	9606	7678	ZNF124
83	9606	8913	CACNA1G
84	9606	23122	CLASP2
89	9606	56853	CELF4
105	9606	23613	ZMYND8
106	9606	817	CAMK2D
113	9606	9699	RIMS2
115	9606	10250	SRRM1
117	9606	23162	MAPK8IP3
118	9606	4133	MAP2
124	9606	4308	TRPM1
125	9606	80036	TRPM3
127	9606	23266	ADGRL2
129	9606	5339	PLEC
130	9606	8028	MLLT10
132	9606	390882	OR7G2
132	9606	125962	OR7G1
133	9606	253738	EBF3
133	9606	1879	EBF1
136	9606	1879	EBF1
139	9606	7249	TSC2
140	9606	10659	CELF2
151	9606	1740	DLG2
157	9606	6249	CLIP1
158	9606	8618	CADPS
161	9606	1739	DLG1
165	9606	4703	NEB
167	9606	8842	PROM1
168	9606	55311	ZNF444
169	9606	22998	LIMCH1
171	9606	3017	H2BC5
172	9606	440689	H2BC18
173	9606	8349	H2BC21
174	9606	8339	H2BC8
174	9606	8344	H2BC6
174	9606	8347	H2BC4
174	9606	8346	H2BC10
174	9606	8343	H2BC7
175	9606	8341	H2BC15
175	9606	3018	H2BC3
175	9606	8970	H2BC11
175	9606	85236	H2BC12
176	9606	1305	COL13A1
178	9606	6840	SVIL
179	9606	55578	SUPT20H
182	9606	9898	UBAP2L
184	9606	9289	ADGRG1
186	9606	3983	ABLIM1
190	9606	5747	PTK2
195	9606	22874	PLEKHA6
196	9606	6925	TCF4
200	9606	112267992	LOC112267992
201	9606	10402	ST3GAL6
202	9606	57447	NDRG2
204	9606	8499	PPFIA2
208	9606	57476	GRAMD1B
209	9606	8291	DYSF
210	9606	55605	KIF21A
211	9606	667	DST
212	9606	4152	MBD1
214	9606	390892	OR7A10
214	9606	26333	OR7A17
215	9606	23077	MYCBP2
219	9606	4781	NFIB
225	9606	54815	GATAD2A
227	9606	10152	ABI2
228	9606	9378	NRXN1
232	9606	9369	NRXN3
233	9606	9379	NRXN2
235	9606	55209	SETD5
236	9606	55553	SOX6
239	9606	80344	DCAF11
240	9606	1996	ELAVL4
248	9606	84448	ABLIM2
249	9606	8672	EIF4G3
251	9606	4301	AFDN
253	9606	6660	SOX5
256	9606	80031	SEMA6D
258	9606	56987	BBX
259	9606	64067	NPAS3
264	9606	3801	KIFC3
265	9606	93643	TJAP1
266	9606	9584	RBM39
270	9606	3895	KTN1
271	9606	4253	MIA2
273	9606	55193	PBRM1
279	9606	54828	BCAS3
284	9606	85461	TANC1
286	9606	51571	CYRIB
288	9606	30816	ERVW-1
289	9606	23048	FNBP1
290	9606	2335	FN1
292	9606	324	APC
294	9606	56288	PARD3
295	9606	1500	CTNND1
297	9606	91452	ACBD5
298	9606	91452	ACBD5
299	9606	51317	PHF21A
300	9606	1540	CYLD
301	9606	8496	PPFIBP1
302	9606	60680	CELF5
308	9606	84146	ZNF644
309	9606	118	ADD1
312	9606	23139	MAST2
314	9606	1639	DCTN1
315	9606	23426	GRIP1
317	9606	23345	SYNE1
319	9606	55871	CBWD1
319	9606	150472	CBWD2
319	9606	445571	CBWD3
319	9606	220869	CBWD5
319	9606	644019	CBWD6
320	9606	11276	SYNRG
321	9606	9079	LDB2
326	9606	23040	MYT1L
328	9606	6546	SLC8A1
329	9606	7139	TNNT2
330	9606	816	CAMK2B
339	9606	8824	CES2
340	9606	9612	NCOR2
341	9606	3188	HNRNPH2
342	9606	3187	HNRNPH1
344	9606	2035	EPB41
347	9606	80254	CEP63
349	9606	22999	RIMS1
351	9606	50488	MINK1
353	9606	10188	TNK2
354	9606	8335	H2AC4
355	9606	8338	H2AC20
356	9606	55766	H2AJ
357	9606	8331	H2AC14
358	9606	8329	H2AC13
359	9606	8332	H2AC16
359	9606	8969	H2AC11
360	9606	6092	ROBO2
364	9606	387680	WASHC2A
364	9606	253725	WASHC2C
367	9606	10149	ADGRG2
368	9606	3382	ICA1
369	9606	4604	MYBPC1
370	9606	23284	ADGRL3
373	9606	26095	PTPN20
374	9606	10243	GPHN
384	9606	23369	PUM2
389	9606	79712	GTDC1
391	9606	57579	FAM135A
393	9606	107986113	LOC107986113
393	9606	105374013	LOC105374013
394	9606	107984264	LOC107984264
395	9606	79813	EHMT1
396	9606	56243	KIAA1217
397	9606	23348	DOCK9
401	9606	55277	FGGY
403	9606	23327	NEDD4L
406	9606	23175	LPIN1
407	9606	7082	TJP1
408	9606	146713	RBFOX3
412	9606	55638	SYBU
413	9606	3020	H3-3A
414	9606	8357	H3C10
414	9606	8355	H3C8
414	9606	8353	H3C6
414	9606	8350	H3C1
414	9606	8290	H3-4
414	9606	8352	H3C3
414	9606	8351	H3C4
414	9606	8968	H3C7
415	9606	440686	H3-2
416	9606	776	CACNA1D
417	9606	57282	SLC4A10
420	9606	142678	MIB2
421	9606	22872	SEC31A
423	9606	5452	POU2F2
428	9606	26037	SIPA1L1
430	9606	9053	MAP7
431	9606	5830	PEX5
433	9606	57451	TENM2
437	9606	2889	RAPGEF1
438	9606	26164	MTG2
439	9606	55291	PPP6R3
441	9606	114880	OSBPL6
447	9606	54039	PCBP3
450	9606	5066	PAM
452	9606	10075	HUWE1
454	9606	51409	HEMK1
455	9606	317703	VN1R4
456	9606	3183	HNRNPC
457	9606	2104	ESRRG
465	9606	11273	ATXN2L
466	9606	8997	KALRN
467	9606	1785	DNM2
469	9606	57578	UNC79
471	9606	948	CD36
472	9606	22871	NLGN1
474	9606	201266	SLC39A11
475	9606	65125	WNK1
476	9606	93664	CADPS2
478	9606	23332	CLASP1
480	9606	287	ANK2
481	9606	253461	ZBTB38
483	9606	7692	ZNF133
484	9606	4957	ODF2
486	9606	9705	ST18
487	9606	9877	ZC3H11A
488	9606	9745	ZNF536
489	9606	159195	USP54
492	9606	51586	MED15
493	9606	89797	NAV2
494	9606	9734	HDAC9
496	9606	421	ARVCF
497	9606	26011	TENM4
500	9606	23189	KANK1
501	9606	84164	ASCC2
502	9606	375775	PNPLA7
503	9606	285331	CCDC66
504	9606	54477	PLEKHA5
508	9606	256714	MAP7D2
509	9606	960	CD44
510	9606	9815	GIT2
511	9606	11011	TLK2
513	9606	55714	TENM3
516	9606	64927	TTC23
517	9606	220929	ZNF438
518	9606	55205	ZNF532
520	9606	285175	UNC80
521	9606	114991	ZNF618
527	9606	8301	PICALM
534	9606	8837	CFLAR
535	9606	1993	ELAVL2
541	9606	79618	HMBOX1
546	9606	54778	RNF111
547	9606	4008	LMO7
549	9606	8500	PPFIA1
550	9606	2778	GNAS
554	9606	2774	GNAL
559	9606	159090	PABIR2
561	9606	4208	MEF2C
566	9606	9181	ARHGEF2
567	9606	406	ARNTL
570	9606	90102	PHLDB2
571	9606	10495	ENOX2
573	9606	10500	SEMA6C
574	9606	5116	PCNT
575	9606	140885	SIRPA
575	9606	10326	SIRPB1
575	9606	55423	SIRPG
576	9606	26130	GAPVD1
579	9606	54093	SETD4
580	9606	9208	LRRFIP1
581	9606	9698	PUM1
583	9606	11189	CELF3
586	9606	23031	MAST3
587	9606	9209	LRRFIP2
588	9606	79858	NEK11
590	9606	55147	RBM23
591	9606	6934	TCF7L2
594	9606	29924	EPN1
596	9606	7088	TLE1
597	9606	26059	ERC2
600	9606	54469	ZFAND6
601	9606	64062	RBM26
604	9606	4820	NKTR
605	9606	8242	KDM5C
607	9606	11159	RABL2A
607	9606	11158	RABL2B
608	9606	23149	FCHO1
609	9606	26030	PLEKHG3
610	9606	79848	CSPP1
611	9606	4925	NUCB2
612	9606	6597	SMARCA4
615	9606	55607	PPP1R9A
617	9606	57448	BIRC6
618	9606	6672	SP100
619	9606	4626	MYH8
620	9606	4625	MYH7
621	9606	4624	MYH6
622	9606	4621	MYH3
623	9606	4619	MYH1
624	9606	2969	GTF2I
626	9606	23215	PRRC2C
627	9606	23093	TTLL5
628	9606	286	ANK1
629	9606	23543	RBFOX2
635	9606	4212	MEIS2
636	9606	23131	GPATCH8
637	9606	3785	KCNQ2
638	9606	171017	ZNF384
639	9606	6733	SRPK2
640	9606	23635	SSBP2
645	9606	9847	C2CD5
648	9606	9617	MTRF1
650	9606	9759	HDAC4
651	9606	9448	MAP4K4
654	9606	419	ART3
655	9606	153090	DAB2IP
656	9606	53616	ADAM22
657	9606	441608	OR5B3
658	9606	6822	SULT2A1
659	9606	51755	CDK12
661	9606	10908	PNPLA6
662	9606	5063	PAK3
666	9606	10318	TNIP1
667	9606	8573	CASK
670	9606	22906	TRAK1
673	9606	4103	MAGEA4
673	9606	4100	MAGEA1
673	9606	4102	MAGEA3
673	9606	4101	MAGEA2
673	9606	266740	MAGEA2B
673	9606	4111	MAGEA12
673	9606	4105	MAGEA6
673	9606	100533997	MAGEA10-MAGEA5
673	9606	4104	MAGEA5
673	9606	728269	MAGEA9B
673	9606	4108	MAGEA9
673	9606	4107	MAGEA8
673	9606	4110	MAGEA11
674	9606	54840	APTX
675	9606	4684	NCAM1
676	9606	2934	GSN
678	9606	221037	JMJD1C
679	9606	1837	DTNA
682	9606	8777	MPDZ
683	9606	4926	NUMA1
684	9606	10720	UGT2B11
684	9606	7365	UGT2B10
684	9606	54490	UGT2B28
684	9606	7363	UGT2B4
684	9606	7364	UGT2B7
684	9606	7366	UGT2B15
684	9606	7367	UGT2B17
685	9606	6867	TACC1
686	9606	57096	RPGRIP1
687	9606	7337	UBE3A
688	9606	4595	MUTYH
689	9606	4595	MUTYH
690	9606	6709	SPTAN1
692	9606	113878	DTX2
693	9606	144100	PLEKHA7
694	9606	23514	SPIDR
696	9606	10443	N4BP2L2
697	9606	10443	N4BP2L2
698	9606	4857	NOVA1
702	9606	3708	ITPR1
703	9606	23187	PHLDB1
706	9606	23262	PPIP5K2
707	9606	22881	ANKRD6
708	9606	166379	BBS12
709	9606	25900	IFFO1
714	9606	780	DDR1
716	9606	23321	TRIM2
717	9606	23242	COBL
718	9606	26137	ZBTB20
720	9606	1981	EIF4G1
721	9606	56946	EMSY
724	9606	6799	SULT1A2
724	9606	6817	SULT1A1
724	9606	445329	SULT1A4
724	9606	6818	SULT1A3
725	9606	831	CAST
726	9606	7145	TNS1
727	9606	221692	PHACTR1
731	9606	9223	MAGI1
733	9606	774	CACNA1B
734	9606	6525	SMTN
735	9606	8361	H4C6
736	9606	8359	H4C1
737	9606	121504	H4-16
738	9606	22907	DHX30
740	9606	54537	SHLD2
749	9606	145957	NRG4
750	9606	11176	BAZ2A
751	9606	113251	LARP4
752	9606	9659	PDE4DIP
753	9606	51105	PHF20L1
754	9606	7090	TLE3
755	9606	56899	ANKS1B
757	9606	23125	CAMTA2
758	9606	51564	HDAC7
759	9606	7297	TYK2
760	9606	65975	STK33
762	9606	80011	PSME3IP1
763	9606	285527	FRYL
764	9606	26750	RPS6KC1
765	9606	10735	STAG2
767	9606	58513	EPS15L1
769	9606	143570	XRRA1
770	9606	27332	ZNF638
771	9606	576	ADGRB2
772	9606	5080	PAX6
776	9606	84251	SGIP1
777	9606	996	CDC27
780	9606	7403	KDM6A
785	9606	433	ASGR2
786	9606	8622	PDE8B
788	9606	55582	KIF27
790	9606	10579	TACC2
791	9606	9826	ARHGEF11
792	9606	256643	BCLAF3
793	9606	405	ARNT
794	9606	2176	FANCC
795	9606	6780	STAU1
796	9606	92270	ATP6AP1L
797	9606	23263	MCF2L
798	9606	5091	PC
799	9606	10413	YAP1
800	9606	10413	YAP1
801	9606	10413	YAP1
802	9606	23499	MACF1
803	9606	56965	PARP6
809	9606	7089	TLE2
811	9606	84335	AKT1S1
812	9606	7862	BRPF1
814	9606	54531	MIER2
815	9606	25875	LETMD1
816	9606	54715	RBFOX1
818	9606	100509620	LOC100509620
818	9606	112267859	LOC112267859
818	9606	364	AQP7
819	9606	54540	FAM193B
820	9606	5099	PCDH7
821	9606	26580	BSCL2
822	9606	111240474	CRYZL2P-SEC16B
822	9606	89866	SEC16B
823	9606	116966	WDR17
824	9606	100288695	LIMS4
825	9606	3987	LIMS1
834	9606	55068	ENOX1
836	9606	84909	AOPEP
837	9606	321	APBA2
838	9606	10487	CAP1
839	9606	152877	FAM53A
840	9606	54535	CCHCR1
841	9606	81887	LAS1L
842	9606	90678	LRSAM1
843	9606	6774	STAT3
852	9606	158471	PRUNE2
853	9606	79741	CCDC7
854	9606	127066	OR14C36
855	9606	23305	ACSL6
857	9606	4848	CNOT2
860	9606	23042	PDXDC1
861	9606	49855	SCAPER
862	9606	55160	ARHGEF10L
863	9606	9922	IQSEC1
864	9606	7378	UPP1
865	9606	11252	PACSIN2
866	9606	51377	UCHL5
868	9606	89894	TMEM116
869	9606	8884	SLC5A6
870	9606	444	ASPH
872	9606	5802	PTPRS
874	9606	8569	MKNK1
876	9606	2180	ACSL1
877	9606	955	ENTPD6
878	9606	23518	R3HDM1
879	9606	3097	HIVEP2
880	9606	89781	HPS4
881	9606	23091	ZC3H13
882	9606	54899	PXK
884	9606	8193	DPF1
889	9606	2972	BRF1
890	9606	54453	RIN2
891	9606	27291	R3HCC1L
892	9606	84632	AFAP1L2
894	9606	51750	RTEL1
895	9606	80817	CEP44
896	9606	8295	TRRAP
899	9606	5168	ENPP2
901	9606	84286	TMEM175
902	9606	1102	RCBTB2
903	9606	80205	CHD9
904	9606	1488	CTBP2
905	9606	5332	PLCB4
906	9606	5797	PTPRM
907	9606	5796	PTPRK
911	9606	1607	DGKB
913	9606	5178	PEG3
914	9606	5144	PDE4D
915	9606	5144	PDE4D
922	9606	120406	NXPE2
923	9606	120400	NXPE1
924	9606	84162	KIAA1109
925	9606	84166	NLRC5
926	9606	10320	IKZF1
927	9606	818	CAMK2G
929	9606	57584	ARHGAP21
933	9606	10076	PTPRU
935	9606	636	BICD1
938	9606	10010	TANK
939	9606	23269	MGA
940	9606	23126	POGZ
941	9606	55691	FRMD4A
943	9606	23522	KAT6B
947	9606	51321	AMZ2
948	9606	57149	LYRM1
949	9606	7091	TLE4
955	9606	1108	CHD4
956	9606	9112	MTA1
957	9606	6328	SCN3A
958	9606	50863	NTM
962	9606	64375	IKZF4
964	9606	8502	PKP4
966	9606	57604	TRMT9B
967	9606	10752	CHL1
968	9606	22807	IKZF2
970	9606	64844	MARCHF7
971	9606	23583	SMUG1
972	9606	2804	GOLGB1
973	9606	58499	ZNF462
974	9606	54827	NXPE4
975	9606	55713	ZNF334
976	9606	9693	RAPGEF2
978	9606	23318	TUT4
979	9606	909	CD1A
980	9606	6935	ZEB1
983	9606	55752	SEPTIN11
984	9606	55752	SEPTIN11
985	9606	8085	KMT2D
986	9606	1088	CEACAM8
986	9606	1087	CEACAM7
986	9606	4680	CEACAM6
986	9606	634	CEACAM1
986	9606	1048	CEACAM5
987	9606	3554	IL1R1
989	9606	23352	UBR4
990	9606	165055	CCDC138
991	9606	138046	RALYL
992	9606	120	ADD3
994	9606	23660	ZKSCAN5
996	9606	1760	DMPK
997	9606	166614	DCLK2
999	9606	124540	MSI2
1000	9606	54849	DEF8
1001	9606	875	CBS
1001	9606	102724560	CBSL
1006	9606	140545	RNF32
1007	9606	90293	KLHL13
1010	9606	25906	ANAPC15
1013	9606	121512	FGD4
1014	9606	5110	PCMT1
1016	9606	728642	CDK11A
1016	9606	984	CDK11B
1017	9606	1606	DGKA
1018	9606	56928	SPPL2B
1020	9606	2908	NR3C1
1021	9606	4916	NTRK3
1024	9606	6484	ST3GAL4
1025	9606	8648	NCOA1
1026	9606	55833	UBAP2
1027	9606	55733	HHAT
1029	9606	55259	CFAP94
1030	9606	7553	ZNF7
1031	9606	23547	LILRA4
1032	9606	102725035	LOC102725035
