homoloGroup	taxID	geneID	geneSymbol
1	9606	1993	ELAVL2
4	9606	1996	ELAVL4
16	9606	9892	SNAP91
19	9606	56853	CELF4
45	9606	815	CAMK2A
46	9606	816	CAMK2B
50	9606	818	CAMK2G
51	9606	817	CAMK2D
53	9606	4897	NRCAM
55	9606	9611	NCOR1
57	9606	3778	KCNMA1
64	9606	26333	OR7A17
64	9606	390892	OR7A10
65	9606	26664	OR7C1
65	9606	26658	OR7C2
66	9606	7140	TNNT3
69	9606	9320	TRIP12
74	9606	8618	CADPS
82	9606	8567	MADD
83	9606	8499	PPFIA2
88	9606	491	ATP2B2
91	9606	490	ATP2B1
93	9606	493	ATP2B4
94	9606	492	ATP2B3
98	9606	22999	RIMS1
100	9606	23266	ADGRL2
103	9606	6326	SCN2A
104	9606	6335	SCN9A
105	9606	6323	SCN1A
106	9606	6328	SCN3A
108	9606	8470	SORBS2
111	9606	4134	MAP4
112	9606	23122	CLASP2
117	9606	10659	CELF2
130	9606	9209	LRRFIP2
131	9606	10580	SORBS1
132	9606	22864	R3HDM2
133	9606	6925	TCF4
136	9606	8672	EIF4G3
137	9606	317703	VN1R4
138	9606	10658	CELF1
141	9606	8913	CACNA1G
143	9606	2035	EPB41
146	9606	23353	SUN1
147	9606	2037	EPB41L2
149	9606	10579	TACC2
150	9606	5599	MAPK8
154	9606	5602	MAPK10
161	9606	7871	SLMAP
167	9606	10777	ARPP21
168	9606	9701	PPP6R2
169	9606	219965	OR5B17
170	9606	390190	OR5B2
171	9606	441608	OR5B3
172	9606	26648	OR7E24
173	9606	6840	SVIL
175	9606	65265	C8orf33
176	9606	775	CACNA1C
177	9606	5747	PTK2
179	9606	4133	MAP2
180	9606	83988	NCALD
181	9606	3241	HPCAL1
182	9606	3208	HPCA
183	9606	55209	SETD5
184	9606	51571	CYRIB
187	9606	51571	CYRIB
196	9606	8997	KALRN
198	9606	8997	KALRN
199	9606	4208	MEF2C
200	9606	23284	ADGRL3
205	9606	4008	LMO7
206	9606	8345	H2BC9
206	9606	440689	H2BC18
207	9606	8349	H2BC21
208	9606	85236	H2BC12
209	9606	8970	H2BC11
210	9606	8340	H2BC13
211	9606	8346	H2BC10
211	9606	8339	H2BC8
211	9606	8344	H2BC6
211	9606	8347	H2BC4
212	9606	128312	H2BU1
213	9606	3018	H2BC3
214	9606	3017	H2BC5
215	9606	80036	TRPM3
218	9606	287	ANK2
219	9606	7917	BAG6
220	9606	9776	ATG13
222	9606	22998	LIMCH1
223	9606	23162	MAPK8IP3
225	9606	9677	PPIP5K1
227	9606	5789	PTPRD
228	9606	405754	ERVFRD-1
229	9606	1739	DLG1
236	9606	4152	MBD1
237	9606	1740	DLG2
246	9606	3983	ABLIM1
247	9606	10781	ZNF266
248	9606	51317	PHF21A
249	9606	23332	CLASP1
250	9606	51555	PEX5L
259	9606	4253	MIA2
260	9606	29994	BAZ2B
261	9606	8842	PROM1
262	9606	84448	ABLIM2
263	9606	11189	CELF3
264	9606	56288	PARD3
265	9606	55291	PPP6R3
266	9606	80344	DCAF11
267	9606	8301	PICALM
281	9606	7249	TSC2
